subject_id,session_id,run_id,task,bold_file,motion_parameter_file,chunk_start,chunk_end,chunk_mean_fd,chunk_max_fd,n_safe_vols_in_run,n_total_vols_in_run
ICC103A,1,001,rest10,/lustre/disk/home/shared/cusacklab/foundcog/bids/sub-ICC103A/ses-1/func/sub-ICC103A_ses-1_task-rest10_dir-AP_run-001_bold.nii.gz,/lustre/disk/home/shared/cusacklab/foundcog/bids/derivatives/motion_parameters/_subject_id_ICC103A/_run_001_session_1_task_name_rest10/_referencetype_standard/sub-ICC103A_ses-1_task-rest10_dir-AP_run-001_bold_mcf.nii.par,0,19,0.136771,0.234005,284,705
ICC103A,1,001,rest10,/lustre/disk/home/shared/cusacklab/foundcog/bids/sub-ICC103A/ses-1/func/sub-ICC103A_ses-1_task-rest10_dir-AP_run-001_bold.nii.gz,/lustre/disk/home/shared/cusacklab/foundcog/bids/derivatives/motion_parameters/_subject_id_ICC103A/_run_001_session_1_task_name_rest10/_referencetype_standard/sub-ICC103A_ses-1_task-rest10_dir-AP_run-001_bold_mcf.nii.par,20,39,0.136126,0.198458,284,705
ICC103A,1,001,rest10,/lustre/disk/home/shared/cusacklab/foundcog/bids/sub-ICC103A/ses-1/func/sub-ICC103A_ses-1_task-rest10_dir-AP_run-001_bold.nii.gz,/lustre/disk/home/shared/cusacklab/foundcog/bids/derivatives/motion_parameters/_subject_id_ICC103A/_run_001_session_1_task_name_rest10/_referencetype_standard/sub-ICC103A_ses-1_task-rest10_dir-AP_run-001_bold_mcf.nii.par,40,59,0.127768,0.225907,284,705
ICC103A,1,001,rest10,/lustre/disk/home/shared/cusacklab/foundcog/bids/sub-ICC103A/ses-1/func/sub-ICC103A_ses-1_task-rest10_dir-AP_run-001_bold.nii.gz,/lustre/disk/home/shared/cusacklab/foundcog/bids/derivatives/motion_parameters/_subject_id_ICC103A/_run_001_session_1_task_name_rest10/_referencetype_standard/sub-ICC103A_ses-1_task-rest10_dir-AP_run-001_bold_mcf.nii.par,60,79,0.115248,0.181651,284,705
ICC103A,1,001,rest10,/lustre/disk/home/shared/cusacklab/foundcog/bids/sub-ICC103A/ses-1/func/sub-ICC103A_ses-1_task-rest10_dir-AP_run-001_bold.nii.gz,/lustre/disk/home/shared/cusacklab/foundcog/bids/derivatives/motion_parameters/_subject_id_ICC103A/_run_001_session_1_task_name_rest10/_referencetype_standard/sub-ICC103A_ses-1_task-rest10_dir-AP_run-001_bold_mcf.nii.par,99,118,0.120777,0.195016,284,705
ICC103A,1,001,rest10,/lustre/disk/home/shared/cusacklab/foundcog/bids/sub-ICC103A/ses-1/func/sub-ICC103A_ses-1_task-rest10_dir-AP_run-001_bold.nii.gz,/lustre/disk/home/shared/cusacklab/foundcog/bids/derivatives/motion_parameters/_subject_id_ICC103A/_run_001_session_1_task_name_rest10/_referencetype_standard/sub-ICC103A_ses-1_task-rest10_dir-AP_run-001_bold_mcf.nii.par,119,138,0.140884,0.214521,284,705
ICC103A,1,001,rest10,/lustre/disk/home/shared/cusacklab/foundcog/bids/sub-ICC103A/ses-1/func/sub-ICC103A_ses-1_task-rest10_dir-AP_run-001_bold.nii.gz,/lustre/disk/home/shared/cusacklab/foundcog/bids/derivatives/motion_parameters/_subject_id_ICC103A/_run_001_session_1_task_name_rest10/_referencetype_standard/sub-ICC103A_ses-1_task-rest10_dir-AP_run-001_bold_mcf.nii.par,139,158,0.139269,0.202549,284,705
ICC103A,1,001,rest10,/lustre/disk/home/shared/cusacklab/foundcog/bids/sub-ICC103A/ses-1/func/sub-ICC103A_ses-1_task-rest10_dir-AP_run-001_bold.nii.gz,/lustre/disk/home/shared/cusacklab/foundcog/bids/derivatives/motion_parameters/_subject_id_ICC103A/_run_001_session_1_task_name_rest10/_referencetype_standard/sub-ICC103A_ses-1_task-rest10_dir-AP_run-001_bold_mcf.nii.par,159,178,0.130637,0.192239,284,705
ICC103A,1,001,rest10,/lustre/disk/home/shared/cusacklab/foundcog/bids/sub-ICC103A/ses-1/func/sub-ICC103A_ses-1_task-rest10_dir-AP_run-001_bold.nii.gz,/lustre/disk/home/shared/cusacklab/foundcog/bids/derivatives/motion_parameters/_subject_id_ICC103A/_run_001_session_1_task_name_rest10/_referencetype_standard/sub-ICC103A_ses-1_task-rest10_dir-AP_run-001_bold_mcf.nii.par,203,222,0.139258,0.225815,284,705
ICC103A,1,001,rest10,/lustre/disk/home/shared/cusacklab/foundcog/bids/sub-ICC103A/ses-1/func/sub-ICC103A_ses-1_task-rest10_dir-AP_run-001_bold.nii.gz,/lustre/disk/home/shared/cusacklab/foundcog/bids/derivatives/motion_parameters/_subject_id_ICC103A/_run_001_session_1_task_name_rest10/_referencetype_standard/sub-ICC103A_ses-1_task-rest10_dir-AP_run-001_bold_mcf.nii.par,372,391,0.143021,0.232858,284,705
